data,passos,distancia_m,kcal_atividade,fc_repouso,fc_media,fc_max,fonte
2020-08-08,2208,0,9,,,,balance
2020-08-09,4899,0,20,,,,balance
2020-08-14,11789,0,44,,,,balance
2020-08-15,230,0,0,,,,balance
2020-08-16,6378,0,22,,,,balance
2020-08-19,10,0,0,,,,balance
2020-08-20,9010,0,38,,,,balance
2020-08-21,10860,0,45,,,,balance
2020-08-22,6713,0,26,,,,balance
2020-08-23,892,0,4,,,,balance
2020-08-24,15,0,0,,,,balance
2020-08-29,4419,0,17,,,,balance
2020-08-30,6072,0,22,,,,balance
2020-08-31,1379,0,5,,,,balance
2020-09-01,2304,0,8,,,,balance
2020-09-02,2556,0,10,,,,balance
2020-09-03,2520,0,9,,,,balance
2020-09-04,3200,0,11,,,,balance
2020-09-05,2425,0,9,,,,balance
2020-09-06,3222,0,11,,,,balance
2020-09-07,2639,0,9,,,,balance
2020-09-08,3227,0,12,,,,balance
2020-09-09,7767,0,27,,,,balance
2020-09-10,5262,0,21,,,,balance
2020-09-11,6874,0,28,,,,balance
2020-09-12,3457,0,12,,,,balance
2020-09-13,3251,0,12,,,,balance
2020-09-14,10786,1896,176,,,,balance
2020-09-15,3579,0,13,,,,balance
2020-09-16,3543,0,13,,,,balance
2020-09-19,2815,0,11,,,,balance
2020-09-20,4944,0,19,,,,balance
2020-09-21,3820,0,13,,,,balance
2020-09-22,4828,0,18,,,,balance
2020-09-23,3314,0,12,,,,balance
2020-09-24,3741,0,13,,,,balance
2020-09-25,6264,0,23,,,,balance
2020-09-26,3019,0,10,,,,balance
2020-09-27,4647,0,17,,,,balance
2020-09-29,84,0,1,,,,balance
2020-09-30,47,0,0,,,,balance
2020-10-01,1065,0,3,,,,balance
2020-10-02,1085,0,3,,,,balance
2020-10-03,2898,0,13,,,,balance
2020-10-04,1103,0,3,,,,balance
2020-10-05,7862,6720,505,,,,balance
2020-10-06,1490,856,38,,,,balance
2020-10-07,671,329,14,,,,balance
2020-10-08,1852,1120,49,,,,balance
2020-10-09,3271,0,12,,,,balance
2020-10-10,878,0,3,,,,balance
2020-10-12,875,0,3,,,,balance
2020-10-13,4853,0,17,,,,balance
2020-10-14,3094,0,11,,,,balance
2020-10-15,764,0,3,,,,balance
2020-10-16,5924,0,21,,,,balance
2020-10-17,3639,0,14,,,,balance
2020-10-18,4909,0,20,,,,balance
2020-10-19,2592,0,9,,,,balance
2020-10-20,2954,0,11,,,,balance
2020-10-21,4543,0,15,,,,balance
2020-10-22,1898,0,7,,,,balance
2020-10-23,3017,0,9,,,,balance
2020-10-24,460,0,1,,,,balance
2020-10-26,1699,0,6,,,,balance
2020-10-27,1857,0,6,,,,balance
2020-10-29,1458,0,5,,,,balance
2020-10-30,3362,0,13,,,,balance
2020-10-31,1624,0,5,,,,balance
2020-11-05,2607,0,10,,,,balance
2020-11-06,2445,0,8,,,,balance
2020-11-07,1983,0,8,,,,balance
2020-11-09,2527,0,9,,,,balance
2020-11-10,4667,0,16,,,,balance
2020-11-11,3995,0,14,,,,balance
2020-11-12,4350,0,16,,,,balance
2020-11-13,3788,0,14,,,,balance
2020-11-14,3700,0,15,,,,balance
2020-11-16,3204,0,12,,,,balance
2020-11-17,3286,0,12,,,,balance
2020-11-19,3461,0,13,,,,balance
2020-11-20,617,0,2,,,,balance
2020-11-26,17,0,0,,,,balance
2020-11-28,4787,0,18,,,,balance
2020-11-30,1401,0,5,,,,balance
2020-12-01,3697,1480,51,,,,balance
2020-12-02,4539,0,16,,,,balance
2020-12-03,4201,0,16,,,,balance
2020-12-04,4411,0,15,,,,balance
2020-12-05,2488,0,9,,,,balance
2020-12-07,3685,0,13,,,,balance
2020-12-08,1982,0,7,,,,balance
2020-12-09,3529,0,11,,,,balance
2020-12-10,4928,0,20,,,,balance
2020-12-11,5693,0,22,,,,balance
2020-12-12,4227,0,17,,,,balance
2020-12-13,2946,0,11,,,,balance
2020-12-14,5157,0,18,,,,balance
2020-12-15,3231,0,10,,,,balance
2020-12-16,3760,0,14,,,,balance
2020-12-17,4286,0,16,,,,balance
2020-12-18,5268,0,20,,,,balance
2020-12-20,4162,0,13,,,,balance
2020-12-21,2706,0,9,,,,balance
2020-12-22,2056,0,7,,,,balance
2020-12-23,4310,0,17,,,,balance
2020-12-24,5010,0,18,,,,balance
2020-12-25,3559,0,12,,,,balance
2020-12-26,11367,0,47,,,,balance
2020-12-27,2775,53293,1936,,,,balance
2020-12-28,2964,0,9,,,,balance
2020-12-29,5614,0,22,,,,balance
2020-12-30,3933,0,14,,,,balance
2020-12-31,3174,0,10,,,,balance
2021-01-01,697,0,2,,,,balance
2021-01-02,3065,0,12,,,,balance
2021-01-03,4056,0,14,,,,balance
2021-01-04,4881,0,16,,,,balance
2021-01-05,7858,0,30,,,,balance
2021-01-06,6738,0,24,,,,balance
2021-01-07,4496,0,17,,,,balance
2021-01-08,6700,0,24,,,,balance
2021-01-09,3434,0,11,,,,balance
2021-01-10,5877,0,25,,,,balance
2021-01-11,1842,0,7,,,,balance
2021-01-12,4085,0,15,,,,balance
2021-01-13,3190,0,12,,,,balance
2021-01-14,4919,0,17,,,,balance
2021-01-15,3738,0,15,,,,balance
2021-01-16,3671,0,13,,,,balance
2021-01-18,3593,0,14,,,,balance
2021-01-19,3578,0,12,,,,balance
2021-01-20,3908,0,14,,,,balance
2021-01-22,4599,0,15,,,,balance
2021-01-24,3401,0,759,,,,balance
2021-01-25,2909,0,11,,,,balance
2021-01-26,2012,0,528,,,,balance
2021-01-27,2757,0,9,,,,balance
2021-01-28,1050,0,3,,,,balance
2021-02-02,2217,0,7,,,,balance
2021-02-03,1027,0,3,,,,balance
2021-02-05,3381,0,12,,,,balance
2021-02-06,2005,0,7,,,,balance
2021-02-08,2278,0,8,,,,balance
2021-02-09,3729,0,13,,,,balance
2021-02-10,1845,0,6,,,,balance
2021-02-12,1705,0,6,,,,balance
2021-02-14,664,5052,977,,,,balance
2021-02-15,2347,0,8,,,,balance
2021-02-16,709,0,2,,,,balance
2021-02-17,2145,0,7,,,,balance
2021-02-18,2453,0,8,,,,balance
2021-02-19,2159,0,7,,,,balance
2021-02-21,5325,0,20,,,,balance
2021-02-22,1992,0,6,,,,balance
2021-02-23,2076,0,7,,,,balance
2021-02-24,1927,0,6,,,,balance
2021-02-25,782,0,2,,,,balance
2021-02-26,1154,0,4,,,,balance
2021-02-27,1009,0,3,,,,balance
2021-02-28,1353,0,4,,,,balance
2021-03-01,368,0,1,,,,balance
2021-03-02,3160,0,12,,,,balance
2021-03-03,2546,0,9,,,,balance
2021-03-04,1285,0,4,,,,balance
2021-03-05,1776,0,6,,,,balance
2021-03-06,1935,0,6,,,,balance
2021-03-07,185,0,1,,,,balance
2021-03-08,3404,0,13,,,,balance
2021-03-09,2983,0,9,,,,balance
2021-03-10,1318,0,5,,,,balance
2021-03-11,1483,0,4,,,,balance
2021-03-12,11718,6908,642,,,,balance
2021-03-13,2310,1314,49,,,,balance
2021-03-14,3515,2415,90,,,,balance
2021-03-15,2671,1559,59,,,,balance
2021-03-16,2792,1693,63,,,,balance
2021-03-17,517,226,9,,,,balance
2021-03-18,1450,747,28,,,,balance
2021-03-19,1458,746,28,,,,balance
2021-03-20,7042,10869,464,,,,balance
2021-03-21,4654,0,16,,,,balance
2021-03-22,3805,0,14,,,,balance
2021-03-23,1440,0,4,,,,balance
2021-03-24,886,0,3,,,,balance
2021-03-25,2471,0,9,,,,balance
2021-03-26,2083,0,6,,,,balance
2021-03-29,1399,0,4,,,,balance
2021-03-31,13684,11097,922,,,,balance
2021-04-01,18,9,0,,,,balance
2021-04-03,3378,1849,69,,,,balance
2021-04-04,2678,1477,56,,,,balance
2021-04-05,4769,2748,103,,,,balance
2021-04-06,2399,1387,52,,,,balance
2021-04-07,1463,757,28,,,,balance
2021-04-08,2822,1660,63,,,,balance
2021-04-09,5850,3476,130,,,,balance
2021-04-10,577,310,12,,,,balance
2021-04-12,4197,2356,88,,,,balance
2021-04-13,2527,1456,54,,,,balance
2021-04-14,5468,3217,120,,,,balance
2021-04-15,5544,8543,628,,,,balance
2021-04-16,4284,7806,534,,,,balance
2021-04-17,2571,4750,325,,,,balance
2021-04-18,7970,5460,376,,,,balance
2021-04-19,4680,1881,50,,,,balance
2021-04-20,4176,1634,44,,,,balance
2021-04-21,1503,500,13,,,,balance
2021-04-22,2752,1117,30,,,,balance
2021-04-23,3726,1343,36,,,,balance
2021-04-24,2958,1167,32,,,,balance
2021-04-25,17082,11776,938,,,,balance
2021-04-26,5542,3103,116,,,,balance
2021-04-27,4117,5847,425,,,,balance
2021-04-28,1532,2208,168,,,,balance
2021-04-29,3033,5102,390,,,,balance
2021-04-30,2953,4803,366,,,,balance
2021-05-01,1402,1620,123,,,,balance
2021-05-02,1699,2035,155,,,,balance
2021-05-03,2614,3364,256,,,,balance
2021-05-04,3067,2374,161,,,,balance
2021-05-05,1926,636,20,,,,balance
2021-05-06,2769,865,27,,,,balance
2021-05-07,2126,662,20,,,,balance
2021-05-08,399,104,4,,,,balance
2021-05-09,1237,407,12,,,,balance
2021-05-10,643,195,6,,,,balance
2021-05-11,964,286,9,,,,balance
2021-05-12,304,78,3,,,,balance
2021-05-13,522,116,3,,,,balance
2021-05-14,519,132,4,,,,balance
2021-05-15,263,58,2,,,,balance
2021-05-16,586,142,4,,,,balance
2021-05-17,1361,438,14,,,,balance
2021-05-18,79,17,0,,,,balance
2021-05-19,533,140,5,,,,balance
2021-05-20,1586,866,78,,,,balance
2021-05-21,596,221,11,,,,balance
2021-05-22,160,57,3,,,,balance
2021-05-23,88,30,1,,,,balance
2021-05-24,891,431,22,,,,balance
2021-05-25,2200,1812,128,,,,balance
2021-05-26,686,160,8,,,,balance
2021-05-27,321,67,2,,,,balance
2021-05-28,754,187,9,,,,balance
2021-05-29,661,4850,609,,,,balance
2021-05-31,918,0,2,,,,balance
2021-06-01,2221,1724,82,,,,balance
2021-06-02,6853,5198,223,,,,balance
2021-06-03,1528,1069,60,,,,balance
2021-06-04,2062,1442,76,,,,balance
2021-06-05,5642,4032,167,,,,balance
2021-06-06,2241,1613,79,,,,balance
2021-06-07,6164,4735,196,,,,balance
2021-06-08,2851,2052,98,,,,balance
2021-06-09,2804,1972,87,,,,balance
2021-06-10,5374,3834,153,,,,balance
2021-06-11,9094,6849,350,,,,balance
2021-06-12,1764,1257,65,,,,balance
2021-06-13,2928,2070,95,,,,balance
2021-06-14,5539,4450,217,,,,balance
2021-06-15,8167,7165,511,,,,balance
2021-06-16,1717,1201,57,,,,balance
2021-06-17,3182,2400,108,,,,balance
2021-06-18,2058,1439,71,,,,balance
2021-06-19,3737,2618,117,,,,balance
2021-06-21,3000,2190,101,,,,balance
2021-06-22,4159,3123,136,,,,balance
2021-06-23,2895,2197,102,,,,balance
2021-06-24,2183,1553,70,,,,balance
2021-06-25,4316,3059,128,,,,balance
2021-06-26,3189,2250,106,,,,balance
2021-06-28,4908,3557,141,,,,balance
2021-06-29,2134,1492,71,,,,balance
2021-06-30,2465,1724,81,,,,balance
2021-07-01,3194,2398,149,,,,balance
2021-07-02,2156,1508,75,,,,balance
2021-07-03,6834,4820,192,,,,balance
2021-07-04,3515,2722,113,,,,balance
2021-07-05,669,468,23,,,,balance
2021-07-06,2680,1930,83,,,,balance
2021-07-07,2441,1707,73,,,,balance
2021-07-08,4730,3764,227,,,,balance
2021-07-09,4349,3096,126,,,,balance
2021-07-10,4544,3438,308,,,,balance
2021-07-11,2122,1486,72,,,,balance
2021-07-12,1679,1174,60,,,,balance
2021-07-13,2600,1913,82,,,,balance
2021-07-14,3759,2884,129,,,,balance
2021-07-15,1753,1226,56,,,,balance
2021-07-16,1015,719,35,,,,balance
2021-07-17,2787,1949,89,,,,balance
2021-07-18,2113,1481,63,,,,balance
2021-07-19,3813,2790,130,,,,balance
2021-07-20,6095,4931,280,,,,balance
2021-07-21,4094,3130,131,,,,balance
2021-07-22,2382,1829,98,,,,balance
2021-07-23,2413,1700,73,,,,balance
2021-07-24,4915,3512,142,,,,balance
2021-07-25,3120,2369,100,,,,balance
2021-07-26,3621,2671,129,,,,balance
2021-07-27,3201,2314,116,,,,balance
2021-07-29,1215,898,45,,,,balance
2021-07-30,6610,4958,210,,,,balance
2021-07-31,2177,1534,75,,,,balance
2021-08-01,2452,1715,722,,,,balance
2021-08-02,3073,2163,95,,,,balance
2021-08-03,7229,6414,470,,,,balance
2021-08-04,5239,3801,159,,,,balance
2021-08-05,18654,13647,1457,,,,balance
2021-08-06,4399,3147,135,,,,balance
2021-08-07,2365,1663,71,,,,balance
2021-08-08,2025,1448,65,,,,balance
2021-08-09,3393,2490,121,,,,balance
2021-08-10,2838,1993,100,,,,balance
2021-08-11,2263,1635,78,,,,balance
2021-08-12,2375,1696,86,,,,balance
2021-08-13,3375,2380,105,,,,balance
2021-08-14,5062,3813,164,,,,balance
2021-08-15,1921,1343,60,,,,balance
2021-08-16,3750,2716,125,,,,balance
2021-08-17,2487,1739,77,,,,balance
2021-08-18,6045,4324,191,,,,balance
2021-08-19,3046,2167,99,,,,balance
2021-08-20,3757,2787,149,,,,balance
2021-08-21,6026,4366,187,,,,balance
2021-08-22,2419,1762,70,,,,balance
2021-08-24,952,674,27,,,,balance
2021-08-25,6553,5071,217,,,,balance
2021-08-26,529,376,14,,,,balance
2021-08-27,8663,6356,256,,,,balance
2021-08-28,1569,1129,46,,,,balance
2021-08-29,1290,914,53,,,,balance
2021-08-30,2362,1674,66,,,,balance
2021-09-01,9204,6755,288,,,,balance
2021-09-03,13471,9937,394,,,,balance
2021-09-04,6358,4781,215,,,,balance
2021-09-05,10882,7909,317,,,,balance
2021-09-06,2062,1486,69,,,,balance
2021-09-07,2778,1959,91,,,,balance
2021-09-08,2380,1678,76,,,,balance
2021-09-09,2025,1497,64,,,,balance
2021-09-10,4345,3272,140,,,,balance
2021-09-11,5111,3832,173,,,,balance
2021-09-15,8581,6275,255,,,,balance
2021-09-16,9119,7695,500,,,,balance
2021-09-17,5277,3783,163,,,,balance
2021-09-18,9556,6975,338,,,,balance
2021-09-19,10915,8048,317,,,,balance
2021-09-20,6398,4667,185,,,,balance
2021-09-21,7447,5511,218,,,,balance
2021-09-22,7512,5570,235,,,,balance
2021-09-23,4374,3139,124,,,,balance
2021-09-24,15723,11365,435,,,,balance
2021-09-25,3088,2163,92,,,,balance
2021-09-26,7009,5214,219,,,,balance
2021-09-27,2656,1880,92,,,,balance
2021-09-28,2642,1873,92,,,,balance
2021-09-29,3327,2535,113,,,,balance
2021-09-30,2432,1703,83,,,,balance
2021-10-01,2366,1679,76,,,,balance
2021-10-02,431,302,13,,,,balance
2021-10-03,2802,2166,91,,,,balance
2021-10-04,2608,1844,89,,,,balance
2021-10-05,2657,1863,95,,,,balance
2021-10-06,4007,2892,129,,,,balance
2021-10-07,1734,1213,53,,,,balance
2021-10-08,3768,2805,123,,,,balance
2021-10-09,602,421,19,,,,balance
2021-10-10,2036,1433,79,,,,balance
2021-10-11,3442,2432,112,,,,balance
2021-10-12,197,138,6,,,,balance
2021-10-14,4160,3017,129,,,,balance
2021-10-15,2184,1527,72,,,,balance
2021-10-16,3142,2205,95,,,,balance
2021-10-17,2115,1508,68,,,,balance
2021-10-18,3417,2422,109,,,,balance
2021-10-19,2557,1789,77,,,,balance
2021-10-20,4290,3011,138,,,,balance
2021-10-21,1248,873,38,,,,balance
2021-10-22,640,448,26,,,,balance
2021-10-23,5467,4628,370,,,,balance
2021-10-24,2517,1897,307,,,,balance
2021-10-25,2365,1654,76,,,,balance
2021-10-26,1983,1419,71,,,,balance
2021-10-27,3742,2651,118,,,,balance
2021-10-28,2747,1953,78,,,,balance
2021-10-29,290,203,9,,,,balance
2021-10-30,3229,2259,108,,,,balance
2021-10-31,285,199,11,,,,balance
2021-11-02,3378,2372,99,,,,balance
2021-11-03,6538,4600,1298,,,,balance
2021-11-04,1881,1315,60,,,,balance
2021-11-05,1845,1297,71,,,,balance
2021-11-06,1277,893,37,,,,balance
2021-11-07,3155,2417,104,,,,balance
2021-11-08,1737,1215,62,,,,balance
2021-11-12,1495,1045,51,,,,balance
2021-11-13,3049,2187,93,,,,balance
2021-11-14,2745,2033,80,,,,balance
2021-11-15,2192,1533,74,,,,balance
2021-11-16,2736,1960,89,,,,balance
2021-11-17,2265,1584,82,,,,balance
2021-11-18,408,285,12,,,,balance
2021-11-19,2081,1455,71,,,,balance
2021-11-20,4905,3455,143,,,,balance
2021-11-21,4628,3648,154,,,,balance
2021-11-22,2574,1801,83,,,,balance
2021-11-23,1550,1084,54,,,,balance
2021-11-24,1839,1288,58,,,,balance
2021-11-25,2548,1782,86,,,,balance
2021-11-27,7961,6393,263,,,,balance
2021-11-28,93,65,3,,,,balance
2021-11-29,1752,1225,57,,,,balance
2021-11-30,1955,1367,61,,,,balance
2021-12-01,1783,1247,63,,,,balance
2021-12-02,2532,1771,71,,,,balance
2021-12-03,3270,2369,111,,,,balance
2021-12-04,6287,4442,179,,,,balance
2021-12-05,3683,2901,119,,,,balance
2021-12-06,334,234,7,,,,balance
2021-12-07,2193,1534,68,,,,balance
2021-12-08,1602,1120,59,,,,balance
2021-12-09,4232,3101,133,,,,balance
2021-12-10,3262,2386,99,,,,balance
2021-12-11,6478,4762,192,,,,balance
2021-12-12,4864,3553,143,,,,balance
2021-12-13,2924,2198,94,,,,balance
2021-12-14,2597,1971,93,,,,balance
2021-12-15,1520,1063,46,,,,balance
2021-12-16,2976,2102,99,,,,balance
2021-12-17,2486,1772,79,,,,balance
2021-12-18,2668,1888,82,,,,balance
2021-12-19,2525,1783,75,,,,balance
2021-12-20,6294,4559,193,,,,balance
2021-12-21,1756,1228,53,,,,balance
2021-12-22,375,262,13,,,,balance
2021-12-24,2015,1409,67,,,,balance
2021-12-25,1822,1279,60,,,,balance
2021-12-26,10,7,1,,,,balance
2021-12-27,3269,2337,96,,,,balance
2021-12-28,10660,7586,304,,,,balance
2021-12-29,17192,12743,491,,,,balance
2021-12-30,16530,12139,460,,,,balance
2021-12-31,15186,11511,452,,,,balance
2022-01-01,6040,4358,163,,,,balance
2022-01-02,13236,9555,348,,,,balance
2022-01-03,13858,10235,405,,,,balance
2022-01-04,14236,10547,410,,,,balance
2022-01-05,7040,5162,189,,,,balance
2022-01-06,5871,4320,170,,,,balance
2022-01-07,8968,6483,246,,,,balance
2022-01-08,4981,3649,142,,,,balance
2022-01-10,3023,2118,88,,,,balance
2022-01-11,27,19,1,,,,balance
2022-01-12,1708,1194,58,,,,balance
2022-01-13,2535,1797,91,,,,balance
2022-01-15,1559,1090,52,,,,balance
2022-01-16,4580,3317,144,,,,balance
2022-01-17,1751,1224,70,,,,balance
2022-01-18,69,48,3,,,,balance
2022-01-19,604,422,23,,,,balance
2022-01-20,2504,1751,89,,,,balance
2022-01-21,2190,1531,73,,,,balance
2022-01-22,6183,4405,184,,,,balance
2022-01-23,3365,2610,111,,,,balance
2022-01-24,3843,2687,112,,,,balance
2022-01-25,2185,1537,82,,,,balance
2022-01-26,1053,736,35,,,,balance
2022-01-27,8150,5865,238,,,,balance
2022-01-28,5060,3621,160,,,,balance
2022-01-29,3278,2292,114,,,,balance
2022-01-30,10293,7405,313,,,,balance
2022-01-31,4294,3077,146,,,,balance
2022-02-01,2622,1834,92,,,,balance
2022-02-02,2281,1600,72,,,,balance
2022-02-03,1059,741,43,,,,balance
2022-02-04,2681,1997,81,,,,balance
2022-02-05,1692,1183,51,,,,balance
2022-02-06,4653,3780,151,,,,balance
2022-02-07,3328,2352,102,,,,balance
2022-02-08,2434,1735,80,,,,balance
2022-02-09,3613,2645,118,,,,balance
2022-02-10,2059,1440,75,,,,balance
2022-02-11,1885,1372,67,,,,balance
2022-02-12,1185,853,36,,,,balance
2022-02-13,3065,2220,100,,,,balance
2022-02-14,2934,2057,98,,,,balance
2022-02-15,2223,1555,72,,,,balance
2022-02-16,2499,1769,76,,,,balance
2022-02-17,3050,2169,94,,,,balance
2022-02-18,1835,1306,61,,,,balance
2022-02-19,8583,6148,260,,,,balance
2022-02-20,2764,1966,95,,,,balance
2022-02-21,2416,1690,73,,,,balance
2022-02-22,2509,1834,91,,,,balance
2022-02-23,2827,2021,91,,,,balance
2022-02-24,1717,1204,65,,,,balance
2022-02-25,1933,1358,75,,,,balance
2022-02-26,2235,1563,82,,,,balance
2022-02-27,1550,1178,48,,,,balance
2022-02-28,2823,1981,84,,,,balance
2022-03-01,95,66,2,,,,balance
2022-03-02,2588,1948,89,,,,balance
2022-03-03,1935,1353,66,,,,balance
2022-03-04,1267,886,41,,,,balance
2022-03-05,1754,1234,44,,,,balance
2022-03-06,10836,8778,360,,,,balance
2022-03-07,2549,1783,83,,,,balance
2022-03-08,1989,1391,73,,,,balance
2022-03-09,3150,2269,98,,,,balance
2022-03-10,1801,1259,62,,,,balance
2022-03-11,2439,1800,80,,,,balance
2022-03-12,1272,890,47,,,,balance
2022-03-13,3272,2288,100,,,,balance
2022-03-14,1262,883,47,,,,balance
2022-03-15,1718,1201,67,,,,balance
2022-03-16,3392,2422,109,,,,balance
2022-03-17,1990,1440,70,,,,balance
2022-03-18,1615,1129,63,,,,balance
2022-03-19,2120,1483,79,,,,balance
2022-03-20,3582,2695,113,,,,balance
2022-03-21,3441,2573,120,,,,balance
2022-03-22,2023,1453,73,,,,balance
2022-03-23,2918,2085,100,,,,balance
2022-03-24,1644,1177,62,,,,balance
2022-03-25,1677,1173,62,,,,balance
2022-03-26,3423,2459,118,,,,balance
2022-03-27,476,333,20,,,,balance
2022-03-28,2604,1821,86,,,,balance
2022-03-29,1849,1293,65,,,,balance
2022-03-30,1990,1392,73,,,,balance
2022-03-31,3021,2124,114,,,,balance
2022-04-01,411,287,14,,,,balance
2022-04-02,3714,2732,128,,,,balance
2022-04-03,7101,5500,234,,,,balance
2022-04-04,2251,1574,84,,,,balance
2022-04-05,1588,1110,60,,,,balance
2022-04-06,27,19,1,,,,balance
2022-04-07,2803,2010,96,,,,balance
2022-04-10,12,8,1,,,,balance
2022-04-11,1003,701,44,,,,balance
2022-04-12,2165,1514,73,,,,balance
2022-04-13,3030,2139,103,,,,balance
2022-04-14,1821,1275,62,,,,balance
2022-04-15,6721,4789,196,,,,balance
2022-04-16,5125,4061,159,,,,balance
2022-04-17,948,663,36,,,,balance
2022-04-18,1996,1396,69,,,,balance
2022-04-19,4457,3215,146,,,,balance
2022-04-20,2780,1976,88,,,,balance
2022-04-21,2571,1798,76,,,,balance
2022-04-22,3957,2973,125,,,,balance
2022-04-24,8,6,1,,,,balance
2022-04-26,2720,2046,83,,,,balance
2022-04-28,2103,1478,68,,,,balance
2022-04-29,1846,1291,52,,,,balance
2022-04-30,4427,3321,145,,,,balance
2022-05-01,3441,2498,105,,,,balance
2022-05-02,4218,3109,140,,,,balance
2022-05-03,3655,2660,120,,,,balance
2022-05-04,2785,1948,82,,,,balance
2022-05-05,2616,1874,84,,,,balance
2022-05-06,3336,2342,113,,,,balance
2022-05-07,11433,8330,345,,,,balance
2022-05-08,8914,6812,292,,,,balance
2022-05-09,3249,2368,107,,,,balance
2022-05-10,2705,1907,90,,,,balance
2022-05-11,1417,991,43,,,,balance
2022-05-12,4312,3235,125,,,,balance
2022-05-13,2437,1704,73,,,,balance
